Archetype Name,Category,Trigger Condition,Frequency,Flavor Text,Notes
The Special Teams Stan,POSITIONAL TIMING CHAOS,"DST drafted Round 5 or earlier, treating defense like a skill position",Rare,"A defense was on the board in round ""x"" and you took it, treating it with the same conviction most managers reserve for elite running backs. The Special Teams Stan believes defensive points are just as real as offensive ones and drafted accordingly, loudly and without apology. The defense better be historic. The Stan will settle for nothing less.",x
The Kicker Truther,POSITIONAL TIMING CHAOS,"Kicker drafted before Round 8, genuinely believes in the position",Rare,"A kicker came off the board in round ""x"", selected with full conviction and zero irony. The Kicker Truther has done the research, watched the range sessions, and decided that the rest of the league is leaving points on the field by waiting. The leg is real. The belief is unshakeable.",x
The Double Dipper,POSITIONAL TIMING CHAOS,"Two kickers rostered, preparing for every possible leg outcome",Rare,"Two kickers were drafted, because one kicker is a starting asset and two kickers is a strategy. The Double Dipper has hedged the most chaotic position in fantasy by simply acquiring both outcomes and letting the better leg decide. Redundancy is not panic. It is preparation.",
The DST Hoarder,POSITIONAL TIMING CHAOS,"Four or more defenses drafted, streaming is a lifestyle not a strategy",Very Rare,"Four or more defenses were drafted, which means streaming is no longer a game-time decision but a personal philosophy. The DST Hoarder has cornered the defensive market and will rotate with a confidence that borders on unsettling. The waiver wire has been checked. It has been checked again. And again.",
The Ostrich,POSITIONAL TIMING CHAOS,QB only drafted in the final round when forced by roster rules,Rare,"The quarterback position was ignored for the entire draft until the final round made ignoring it technically impossible. The Ostrich buried its head in the positional sand and drafted every other position group with great care before surfacing, just barely, to select a signal-caller. The QB is there. Whether he plays is a separate conversation.",
The Opening Kickoff,POSITIONAL TIMING CHAOS,DST or Kicker taken in rounds 1-5 AND a second one of that same position group is taken later,Very Rare,"A special teams asset was drafted in the first five rounds, and then another one was added later, because the first one clearly wasn't enough commitment to the bit. The Opening Kickoff leads with special teams and dares the rest of the roster to justify that decision. This is either visionary or chaos. Possibly both.",
The Special Teams First Ballot,POSITIONAL TIMING CHAOS,Both a kicker AND a DST drafted before Round 6,Very Rare,"A kicker and a defense were both off the board before round ""x+1"", consuming premium draft capital on the two positions that every consensus expert says to draft last. The Special Teams First Ballot has a Hall of Fame case for most unconventional positional philosophy in league history. The plaque is being engraved. The other managers are still confused.",x
The Homer,LOYALTY & BIAS CHAOS,5+ players drafted from a single NFL team,Rare,"Five or more players share the same NFL team affiliation on this fantasy roster, which means the fandom and the fantasy strategy have merged completely. The Homer drafts with the heart as much as the head, and today the heart was very loud. The real team is playing well. The fantasy team is rooting for them.",team tracking
The One Trick Pony,LOYALTY & BIAS CHAOS,7+ players from one NFL team,Very Rare,"""x"" players from the same NFL team are on this roster, which is not a fantasy draft so much as a very intense show of support for one franchise. The One Trick Pony has gone all in on a single offense and is now entirely at the mercy of that coaching staff's decisions. One team. One dream. Infinite exposure.","x, Superceeds the homer"
The Hometown Hero,LOYALTY & BIAS CHAOS,Entire draft prioritizes players from one geographic region or division,Very Rare,"The entire roster skews heavily toward players from one region or division, which suggests that local allegiances have infiltrated the draft board at every tier. The Hometown Hero bleeds the same colors off the field as on it and has constructed a fantasy team that would make the local sports radio very happy. Geography is destiny. The hometown is well represented.",Divisonal breakdown
The Time Traveler,ANTI-STRATEGY CHAOS,Majority of picks are players who peaked statistically 3+ years ago,Rare,"The majority of this roster is made up of players whose statistical peaks were three or more years ago, which means this draft came with a heavy dose of nostalgia. The Time Traveler believes that the old guard still has something left in the tank and is willing to stake the entire season on that conviction. The glory years were real. Whether they are coming back is the question.",Based on player age 
The Fantasy Hipster,ANTI-STRATEGY CHAOS,Zero players drafted in the top-30 ADP,Very Rare,"Not a single player in the consensus top thirty by ADP appears on this roster, because if everyone wants them, the Fantasy Hipster simply does not. The Fantasy Hipster was contrarian before contrarian was a draft strategy and will be contrarian long after everyone else adopts it. The mainstream ruined the top thirty. The top thirty never heard of this roster.",adp tracking
The Anti-ADP,ANTI-STRATEGY CHAOS,Every single pick is at least 2 rounds later than consensus ADP,Very Rare,"Every single pick was taken at least two rounds after the consensus expected draft position, meaning this entire roster was assembled at a theoretical discount. The Anti-ADP treats consensus rankings as a starting point for negotiation and the draft room as a market full of overpriced goods. The price was always wrong. The Anti-ADP corrected it every round.",adp tracking
The Injury Magnet,ANTI-STRATEGY CHAOS,Drafts 4+ players with known significant injury histories,Rare,"Four or more players on this roster arrived to training camp with documented, significant injury histories that were publicly available and widely discussed. The Injury Magnet has either done the medical research to support these picks or is operating on pure belief in the healing arts. When healthy, this roster is terrifying. The word 'when' is doing a lot of work in that sentence.","Injury report data, over x games missed over 2-3 years"
The Rookie Truther,ANTI-STRATEGY CHAOS,"5+ rookies drafted, betting the entire season on unproven talent",Rare,"Five or more rookies were drafted, which means this team is betting the entire season on players who have not yet taken a professional snap that matters. The Rookie Truther believes in the pipeline, the tape, and the upside that experience cannot yet confirm. The league is old. This roster is not. One of those things is an advantage.",Only spring after all other possible catagories
The Old Boys Club,ANTI-STRATEGY CHAOS,5+ players aged 30 or older,Rare,"Five or more players on this roster are thirty-two years of age or older, which means this draft was guided by a deep respect for the craft and a healthy skepticism of youth. The Old Boys Club drafts players who have seen everything the league can throw at them and handled it. Father Time is undefeated. The Old Boys Club is betting on extra innings.",Pull from age data
The RB Apocalypse,POSITIONAL HOARDING CHAOS,8+ RBs drafted,Very Rare,"Eight or more running backs were drafted, which means this roster has more running backs than most teams have offensive linemen and is prepared for a ground game scenario that has never occurred in NFL history. The RB Apocalypse has solved the injury problem through pure volume and is ready to rotate accordingly. The apocalypse was preventable. This drafter chose not to prevent it.",
The Air Show,POSITIONAL HOARDING CHAOS,8+ WRs drafted,Very Rare,"Eight or more wide receivers were drafted, which means this team has decided that running backs are essentially optional and the forward pass is the only play that matters. The Air Show is an aerial assault on conventional roster construction and a personal statement about the direction of modern football. The ground game is someone else's problem. The air show has begun.",
The Quarterback Factory,POSITIONAL HOARDING CHAOS,3+ QBs drafted in a single-QB league,Rare,"Three quarterbacks are on this roster in a single-QB league, which means two of them are placeholders for a starting role that only one player will ever fill. The Quarterback Factory is either preparing for an unprecedented injury cascade or has confused the positional roster rules with something more generous. The factory is running. The production line only needs one unit.",
The TE Convention,POSITIONAL HOARDING CHAOS,3+ TEs drafted,Rare,"Three tight ends are on this roster, which suggests that the tight end position was either wildly misunderstood or deeply, personally beloved. The TE Convention has gathered every reliable pass-catcher at the position and created a depth chart that most NFL teams would envy. The convention is in session. The bylaw requiring only one starting tight end has not been repealed.",
The Zero Position,POSITIONAL HOARDING CHAOS,Completely neglects one starting position (not kicker or defense) until round 13+,Rare,"One starting position was entirely ignored until the thirteenth round or later, meaning a lineup slot was effectively left unaddressed for the first three quarters of the draft. The Zero Position is either a masterclass in positional punting or a clerical error that became a philosophy. The slot exists. It will be filled. How it performs is a different question entirely.",
The Panic Button,GAMBLING & HIGH VARIANCE CHAOS,5+ picks are reaches of 3+ rounds above consensus ADP,Rare,"Five or more picks came off the board three or more rounds ahead of consensus expectations, which means the draft room exerted significant emotional pressure on this roster at multiple points. The Panic Button was pressed early and pressed often, and the result is a team built partially on conviction and partially on draft room anxiety. The button was pressed. The picks are made. No refunds.",adp tracking 
The YOLO,GAMBLING & HIGH VARIANCE CHAOS,"Every pick is a flier, no player projects inside the top 10 at their position",Very Rare,"Not a single player on this roster projects to finish inside the top ten at their position, which means this team is one hundred percent lottery tickets from the first pick to the last. The YOLO has committed to the philosophy that the only way to win a championship is to take the shots that nobody else will take. You only live once. This roster is acting accordingly.",adp tracking 
The Handcuff Army,GAMBLING & HIGH VARIANCE CHAOS,4+ handcuff RBs drafted without owning the corresponding starters,Very Rare,"Four or more handcuff running backs were drafted without owning any of the corresponding featured backs, which means this roster is entirely contingent on injuries to players it does not own. The Handcuff Army is prepared for other people's disasters and is quietly hoping for them. The insurance policy was purchased. The accident just needs to happen to someone else.",player tracking
The Lottery Ticket Booth,GAMBLING & HIGH VARIANCE CHAOS,Every pick rounds 1-6 is a player with significant injury risk,Rare,"Every pick in the first six rounds carried meaningful injury risk, which means maximum variance was baked into this roster before the middle rounds even began. The Lottery Ticket Booth stocked the premium positions with high-ceiling, high-risk assets and is now open for business every week. The tickets are purchased. Some of them are going to hit enormously.",injury data
The Fantasy Sommelier,TROLL & COMEDIC CHAOS,Only drafts players with aesthetically pleasing names,Very Rare,"Every player on this roster was selected, at least in part, based on the elegance of the name, which is a scouting criterion that no analytics department has ever formally modeled. The Fantasy Sommelier has curated a roster with impeccable aesthetic coherence and a very specific kind of confidence. The names are excellent. The production will determine whether the pairing was correct.",???
The Alphabetical,TROLL & COMEDIC CHAOS,Draft order suspiciously follows alphabetical order by last name,Very Rare,"The picks on this roster follow the alphabet with a consistency that is either an extraordinary coincidence or a fully committed structural decision. The Alphabetical has found a draft system that is completely immune to positional bias, recency bias, and conventional wisdom, because none of those things are alphabetical. A through Z. Every pick in order. The standings are next.",Alphabetical 
The Retirement Watch,TROLL & COMEDIC CHAOS,Drafts 3+ players who were rumored to be retiring in the offseason,Rare,"Three or more players on this roster were publicly rumored to be considering retirement before the season began, which means significant roster value is contingent on people who were not sure they wanted to play football anymore. The Retirement Watch believes in the comeback story and has bet the season on it three separate times. They came back. The rest is up to them.",retierment tracker
The Dynasty Dropout,TROLL & COMEDIC CHAOS,Drafts exactly like a dynasty manager in a redraft league,Rare,"This redraft roster is stacked with young players who will be excellent in two or three years and efficient enough right now to be interesting, which is a dynasty philosophy applied to a league that resets every August. The Dynasty Dropout forgot which format this was or decided it did not matter. The youth movement is fully underway. The championship window opens in 2027.",age/experience tracking