rank,name,position
1,Jeremiyah Love,RB
2,Carnell Tate,WR
3,Makai Lemon,WR
4,Jordyn Tyson,WR
5,Jadarian Price,RB
6,KC Concepcion,WR
7,Kenyon Sadiq,TE
8,Omar Cooper Jr.,WR
9,Denzel Boston,WR
10,Eli Stowers,TE
11,Fernando Mendoza,QB
12,De'Zhaun Stribling,WR
13,Germie Bernard,WR
14,Chris Bell,WR
15,Mike Washington Jr.,RB
16,Kaelon Black,RB
17,Chris Brazzell II,WR
18,Malachi Fields,WR
19,Caleb Douglas,WR
20,Antonio Williams,WR
21,Emmett Johnson,RB
22,Ja'Kobi Lane,WR
23,Jonah Coleman,RB
24,Nicholas Singleton,RB
25,Ty Simpson,QB
26,Zachariah Branch,WR
27,Adam Randall,RB
28,Max Klare,TE
29,Ted Hurst,WR
30,Carson Beck,QB
31,Oscar Delp,TE
32,Sam Roush,TE
33,Kaytron Allen,RB
34,Demond Claiborne,RB
35,Elijah Sarratt,WR
36,Skyler Bell,WR
37,Bryce Lance,WR
38,Brenen Thompson,WR
39,Reggie Virgil,WR
40,Drew Allar,QB
41,Cyrus Allen,WR
42,Seth McGowan,RB
43,Kevin Coleman Jr.,WR
44,CJ Daniels,WR
45,Marlin Klein,TE
46,Zavion Thomas,WR
47,Kendrick Law,WR
48,Colbie Young,WR
49,Justin Joly,TE
50,Eli Heidenreich,RB
51,Kaden Wetjen,WR
52,Barion Brown,WR
53,Jam Miller,RB
54,Josh Cameron,WR
55,Malik Benson,WR
56,Cade Klubnik,QB
57,Tanner Koziol,TE
58,Lewis Bond,WR
59,Deion Burks,WR
60,Joe Royer,TE